order_id,product_id,product_title,category,price,quantity,total,status,created_at,date,day_name,hour,month,week
ORD-100001,1004,Kebaya Modern,Fashion,252502,1,252502,COMPLETED,2025-12-28T13:43:01.278412,2025-12-28,Sunday,13,12,52
ORD-100002,1018,Kemeja Flannel,Fashion,149627,1,149627,COMPLETED,2025-12-28T10:32:01.278412,2025-12-28,Sunday,10,12,52
ORD-100003,1020,Daster Kombinasi,Fashion,76403,1,76403,COMPLETED,2025-12-28T17:14:01.278412,2025-12-28,Sunday,17,12,52
ORD-100004,1015,Celana Kulot,Fashion,140733,1,140733,SHIPPED,2025-12-28T08:44:01.278412,2025-12-28,Sunday,8,12,52
ORD-100005,1014,Kebaya Brokat,Fashion,288657,1,288657,COMPLETED,2025-12-28T21:05:01.278412,2025-12-28,Sunday,21,12,52
ORD-100006,1013,Tunik Batik,Fashion,167264,1,167264,SHIPPED,2025-12-28T17:46:01.278412,2025-12-28,Sunday,17,12,52
ORD-100007,1015,Celana Kulot,Fashion,148263,1,148263,COMPLETED,2025-12-28T15:53:01.278412,2025-12-28,Sunday,15,12,52
ORD-100008,1020,Daster Kombinasi,Fashion,81483,2,162966,COMPLETED,2025-12-28T13:42:01.278412,2025-12-28,Sunday,13,12,52
ORD-100009,1008,Seragam Kerja,Fashion,155290,2,310580,SHIPPED,2025-12-28T19:24:01.278412,2025-12-28,Sunday,19,12,52
ORD-100010,1009,Kemeja Slimfit,Fashion,104859,1,104859,COMPLETED,2025-12-28T13:42:01.278412,2025-12-28,Sunday,13,12,52
ORD-100011,1009,Kemeja Slimfit,Fashion,99740,2,199480,COMPLETED,2025-12-28T11:34:01.278412,2025-12-28,Sunday,11,12,52
ORD-100012,1008,Seragam Kerja,Fashion,126213,1,126213,COMPLETED,2025-12-28T22:35:01.278412,2025-12-28,Sunday,22,12,52
ORD-100013,1008,Seragam Kerja,Fashion,148456,1,148456,COMPLETED,2025-12-28T18:02:01.278412,2025-12-28,Sunday,18,12,52
ORD-100014,1011,Gamis Anak,Fashion,115809,1,115809,COMPLETED,2025-12-28T20:45:01.278412,2025-12-28,Sunday,20,12,52
ORD-100015,1011,Gamis Anak,Fashion,137461,1,137461,COMPLETED,2025-12-28T20:09:01.278412,2025-12-28,Sunday,20,12,52
ORD-100016,1009,Kemeja Slimfit,Fashion,101829,1,101829,COMPLETED,2025-12-28T16:27:01.278412,2025-12-28,Sunday,16,12,52
ORD-100017,1019,Kemeja Kantor,Fashion,108650,1,108650,COMPLETED,2025-12-28T22:05:01.278412,2025-12-28,Sunday,22,12,52
ORD-100018,1002,Batik Tulis Solo,Fashion,192227,2,384454,COMPLETED,2025-12-28T13:38:01.278412,2025-12-28,Sunday,13,12,52
